	terminology	system	dataset	pair	chrf	comet	cometkiwi	consistency	regex	fuzzy90	tok_regex	tok_fuzzy90
0	rand	uedin_llm	test	de-en	61.39829337444249	0.839532245969058	0.8348524033576809	0.7984886649874056	0.6805555555555556	0.6759259259259259	0.6967592592592593	0.6805555555555556
1	term	uedin_llm_improved	test	de-en	61.33917940745175	0.8408750161696016	0.8241688701767154	0.7959697732997482	0.6782407407407407	0.6736111111111112	0.6967592592592593	0.6736111111111112
2	rand	uedin_llm	blind	de-en	53.78168294490821	0.7998647471558773	0.8204983786112418	0.6856221198156682	0.382055120190191	0.4511754864841067	0.413049220744915	0.4508232807959849
3	rand	uedin_decode_tag_improved	test	en-cs	63.35328493734852	0.9057351203446976	0.8265119201681587	0.6242171189979123	0.6836363636363636	0.730909090909091	0.7818181818181819	0.7654545454545455
4	base	uedin_decode_tag	blind	en-cs	57.34513010463914	0.8333459347846427	0.8157218514721175	0.7941749464250926	0.372859025032938	0.466214944475814	0.4240542066629023	0.4834368530020704
5	term	opuscat-terms	blind	en-cs	75.13918017932562	0.8890159255609666	0.8028792507941349	0.8076173777518021	0.9114436288349332	0.9035384904950122	0.9323357801618672	0.906455862977602
6	term	opuscat-terms	test	zh-en	32.07906861904547	0.6270055667701355	0.6059040465056615	0.3868065967016492	0.3750643997939206	0.362699639361154	0.4193714580113343	0.3838227717671303
7	base	uedin_llm_improved	blind	zh-en	38.67288757177216	0.7499564578426917	0.7559209369004719	0.5940366972477065	0.4015802129852284	0.5383029886636894	0.4166952937135005	0.5132256956372381
8	base	uedin_decode_tag_improved	blind	zh-en	38.73893151981338	0.7468048513517858	0.7522338763952837	0.5647935779816514	0.3706630024046719	0.4981106149089659	0.3847475094469254	0.4723462727585022
9	term	opuscat-terms	blind	de-en	68.32996735457336	0.8276874793433108	0.7482053913792729	0.6608294930875576	0.94708109535969	0.8843004314519679	0.9479616095799948	0.8738223122303426
